Designator,Mid X,Mid Y,Rotation,Layer
BOOT,139.3,-63.7,270.0,top
C1,152.4375,-85.6,90.0,top
C10,160.42,-77.9,0.0,top
C11,160.42,-73.9,0.0,top
C12,160.4,-75.9,0.0,top
C13,160.4,-76.9,0.0,top
C14,150.5,-76.0,180.0,top
C15,155.5,-73.6,90.0,top
C16,158.9,-74.5,90.0,top
C17,156.9,-84.5,0.0,top
C18,152.3,-123.6,45.0,top
C19,139.3,-131.1,90.0,top
C2,154.0375,-89.4,180.0,top
C20,154.5,-127.2,0.0,top
C21,155.4,-126.1,0.0,top
C22,164.1,-127.1,180.0,top
C23,162.7,-126.1,0.0,top
C24,154.4,-132.7,0.0,top
C25,154.42,-131.7,0.0,top
C26,154.9,-128.7,90.0,top
C27,164.1,-128.3,180.0,top
C28,154.5,-130.1,0.0,top
C29,151.8,-95.7,180.0,top
C3,154.7,-71.6,90.0,top
C4,171.2,-85.0,90.0,top
C5,166.6,-85.2,270.0,top
C6,149.8,-80.5,180.0,top
C7,160.4,-74.9,0.0,top
C8,158.3,-85.5,0.0,top
C9,155.0,-69.7,315.0,top
J1,172.86,-77.6,90.0,top
J2,142.075,-96.325,270.0,top
J3,146.35,-132.8,90.0,top
NEXT,163.8,-110.1,0.0,top
PLAY/PAUSE,156.4,-110.1,0.0,top
PREVIOUS,149.0,-110.1,180.0,top
R1,152.4375,-87.7,90.0,top
R10,154.29,-91.3,0.0,top
R11,151.9,-96.7,180.0,top
R12,151.909999,-98.0,180.0,top
R13,152.2,-91.6,180.0,top
R14,152.209999,-99.2,180.0,top
R15,157.9,-74.2,270.0,top
R16,156.7,-74.190001,270.0,top
R2,145.1,-68.8,180.0,top
R3,147.4,-68.3,180.0,top
R4,166.2,-80.989999,180.0,top
R5,166.5,-74.9,135.0,top
R6,139.2,-132.6,180.0,top
R7,151.4,-125.5,270.0,top
R8,150.0,-77.2,180.0,top
R9,147.8,-78.3,0.0,top
U1,155.3,-79.5,90.0,top
U2,149.3125,-71.795,270.0,top
U3,168.9,-85.062499,90.0,top
U4,159.3,-130.0,270.0,top
U5,156.4,-53.6125,0.0,top
VOLUME+,156.5,-105.6,0.0,top
VOLUME-,156.4,-114.6,0.0,top
Y1,155.0375,-87.15,0.0,top
